code,name,category,manufacturer,description,price,sellingPrice,quantity,expiryDate,status
0002-0152,"Zepbound Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,97.72,127.04,37,2028-10-29,IN_STOCK
0002-0213,"Humulin Injection, Solution",Insulin [CS],Eli Lilly And Company,Insulin human,44.88,58.34,139,2027-02-20,IN_STOCK
0002-0243,"Zepbound Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,111.79,145.33,371,2028-10-28,IN_STOCK
0002-0800,"Sterile Diluent Injection, Solution",General Medicine,Eli Lilly And Company,diluent,134.37,174.68,69,2028-05-27,IN_STOCK
0002-1152,"Mounjaro Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,66.18,86.03,40,2027-01-04,IN_STOCK
0002-1200,"Amyvid Injection, Solution",Positron Emitting Activity [MoA],Eli Lilly And Company,Florbetapir F 18,36.7,47.71,283,2028-06-08,IN_STOCK
0002-1214,"Zepbound Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,8.85,11.51,126,2028-10-03,IN_STOCK
0002-1220,"Tauvid Injection, Solution",General Medicine,Eli Lilly And Company,Flortaucipir F-18,99.23,129.0,304,2027-12-04,IN_STOCK
0002-1243,"Mounjaro Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,36.96,48.05,326,2027-07-12,IN_STOCK
0002-1340,"Zepbound Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,122.37,159.08,28,2028-11-16,IN_STOCK
0002-1423,"Zepbound Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,121.84,158.39,382,2027-12-07,IN_STOCK
0002-1433,"Trulicity Injection, Solution",GLP-1 Receptor Agonist [EPC],Eli Lilly And Company,Dulaglutide,54.34,70.64,104,2027-05-09,IN_STOCK
0002-1434,"Trulicity Injection, Solution",GLP-1 Receptor Agonist [EPC],Eli Lilly And Company,Dulaglutide,143.8,186.94,197,2027-01-13,IN_STOCK
0002-1436,"Emgality Injection, Solution",General Medicine,Eli Lilly And Company,galcanezumab-gnlm,18.45,23.98,74,2027-10-03,IN_STOCK
0002-1442,"Omvoh Injection, Solution",Interleukin-23 Antagonist [EPC],Eli Lilly And Company,mirikizumab-mrkz,127.89,166.26,334,2027-06-28,IN_STOCK
0002-1445,"Taltz Injection, Solution",Interleukin-17A Antagonist [EPC],Eli Lilly And Company,ixekizumab,122.03,158.64,398,2028-01-14,IN_STOCK
0002-1457,"Mounjaro Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,82.75,107.58,218,2026-12-20,IN_STOCK
0002-1460,"Mounjaro Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,85.05,110.56,346,2028-06-25,IN_STOCK
0002-1471,"Mounjaro Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,133.39,173.41,210,2028-05-14,IN_STOCK
0002-1484,"Mounjaro Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,32.88,42.74,60,2026-11-16,IN_STOCK
0002-1495,"Mounjaro Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,100.88,131.14,173,2026-12-21,IN_STOCK
0002-1506,"Mounjaro Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,129.02,167.73,76,2027-10-25,IN_STOCK
0002-1717,"Inluriyo Tablet, Film Coated",Breast Cancer Resistance Protein Inhibitors [MoA],Eli Lilly And Company,imlunestrant,45.31,58.9,350,2027-10-09,IN_STOCK
0002-2002,"Zepbound Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,28.58,37.15,206,2027-05-03,IN_STOCK
0002-2214,"Mounjaro Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,102.18,132.83,384,2028-08-30,IN_STOCK
0002-2236,"Trulicity Injection, Solution",GLP-1 Receptor Agonist [EPC],Eli Lilly And Company,Dulaglutide,98.97,128.66,336,2028-07-12,IN_STOCK
0002-2340,"Mounjaro Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,29.82,38.77,398,2027-06-08,IN_STOCK
0002-2377,"Emgality Injection, Solution",General Medicine,Eli Lilly And Company,galcanezumab-gnlm,28.69,37.3,219,2027-07-04,IN_STOCK
0002-2423,"Mounjaro Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,148.48,193.02,352,2028-09-04,IN_STOCK
0002-2457,"Zepbound Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,85.76,111.49,375,2027-08-29,IN_STOCK
0002-2460,"Zepbound Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,127.21,165.37,53,2027-05-23,IN_STOCK
0002-2471,"Zepbound Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,124.16,161.41,186,2027-11-15,IN_STOCK
0002-2484,"Zepbound Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,43.82,56.97,133,2028-05-03,IN_STOCK
0002-2495,"Zepbound Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,132.07,171.69,186,2027-05-06,IN_STOCK
0002-2506,"Zepbound Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,100.04,130.05,227,2028-07-20,IN_STOCK
0002-2980,Retevmo Capsule,Breast Cancer Resistance Protein Inhibitors [MoA],Eli Lilly And Company,selpercatinib,71.53,92.99,160,2027-02-20,IN_STOCK
0002-3002,"Mounjaro Injection, Solution",G-Protein-linked Receptor Interactions [MoA],Eli Lilly And Company,tirzepatide,40.76,52.99,312,2028-04-04,IN_STOCK
0002-3115,"Emgality Injection, Solution",General Medicine,Eli Lilly And Company,galcanezumab-gnlm,43.1,56.03,324,2027-12-13,IN_STOCK
0002-3116,"Omvoh Injection, Solution",Interleukin-23 Antagonist [EPC],Eli Lilly And Company,mirikizumab-mrkz,135.18,175.73,229,2027-10-06,IN_STOCK
0002-3182,"Trulicity Injection, Solution",GLP-1 Receptor Agonist [EPC],Eli Lilly And Company,Dulaglutide,36.8,47.84,95,2028-03-05,IN_STOCK
0002-3227,Strattera Capsule,Norepinephrine Reuptake Inhibitor [EPC],Eli Lilly And Company,Atomoxetine hydrochloride,76.56,99.53,49,2027-01-21,IN_STOCK
0002-3228,Strattera Capsule,Norepinephrine Reuptake Inhibitor [EPC],Eli Lilly And Company,Atomoxetine hydrochloride,27.16,35.31,106,2028-12-20,IN_STOCK
0002-3229,Strattera Capsule,Norepinephrine Reuptake Inhibitor [EPC],Eli Lilly And Company,Atomoxetine hydrochloride,103.67,134.77,330,2026-12-05,IN_STOCK
0002-3235,"Cymbalta Capsule, Delayed Release",Norepinephrine Uptake Inhibitors [MoA],Eli Lilly And Company,Duloxetine hydrochloride,60.79,79.03,330,2028-01-23,IN_STOCK
0002-3238,Strattera Capsule,Norepinephrine Reuptake Inhibitor [EPC],Eli Lilly And Company,Atomoxetine hydrochloride,81.72,106.24,308,2026-10-12,IN_STOCK
0002-3239,Strattera Capsule,Norepinephrine Reuptake Inhibitor [EPC],Eli Lilly And Company,Atomoxetine hydrochloride,103.64,134.73,83,2028-08-29,IN_STOCK
0002-3240,"Cymbalta Capsule, Delayed Release",Norepinephrine Uptake Inhibitors [MoA],Eli Lilly And Company,Duloxetine hydrochloride,133.29,173.28,161,2028-11-26,IN_STOCK
0002-3250,Strattera Capsule,Norepinephrine Reuptake Inhibitor [EPC],Eli Lilly And Company,Atomoxetine hydrochloride,97.94,127.32,82,2027-07-28,IN_STOCK
0002-3251,Strattera Capsule,Norepinephrine Reuptake Inhibitor [EPC],Eli Lilly And Company,Atomoxetine hydrochloride,68.04,88.45,257,2026-10-04,IN_STOCK
0002-3270,"Cymbalta Capsule, Delayed Release",Norepinephrine Uptake Inhibitors [MoA],Eli Lilly And Company,Duloxetine hydrochloride,143.3,186.29,393,2027-06-27,IN_STOCK
0002-3977,Retevmo Capsule,Breast Cancer Resistance Protein Inhibitors [MoA],Eli Lilly And Company,selpercatinib,145.92,189.7,116,2028-03-03,IN_STOCK
0002-4182,"Olumiant Tablet, Film Coated",Janus Kinase Inhibitor [EPC],Eli Lilly And Company,baricitinib,137.33,178.53,345,2027-08-02,IN_STOCK
0002-4184,Evista Tablet,Estrogen Agonist/Antagonist [EPC],Eli Lilly And Company,Raloxifene hydrochloride,127.04,165.15,284,2028-06-15,IN_STOCK
0002-4312,Reyvow Tablet,General Medicine,Eli Lilly And Company,lasmiditan,33.84,43.99,216,2028-11-19,IN_STOCK
0002-4462,"Cialis Tablet, Film Coated",Phosphodiesterase 5 Inhibitor [EPC],Eli Lilly And Company,Tadalafil,28.42,36.95,296,2026-10-01,IN_STOCK
